名字,评分,户型,出租类型,可住,价格,图片地址,城市
近文殊院地铁站 | 近宽窄巷子舒适套房,4.4,1室,整租,2,268,//pics.muniao.com//UploadFiles/thumb/image/20160120/20160120160744924.jpg_414_262.jpg,chengdu
成都青青我家短租公寓大床（中医药大学省医院店,4.9,1室,整租,2,128,//pics.muniao.com//UploadFiles/root/room/13643/thumb/601740106c9348a3aa8b174c52591e7c.jpg_414_262.jpg,chengdu
【月租】蔚蓝天空/春熙路太古里/天府广场双铁/一居室/低价长租,5.0,1室,整租,4,258,//pics.muniao.com//UploadFiles/thumb/image/20180607/e51207f74d6f4c579e6e2d98e034696220180607172909368.jpg_414_262.jpg,chengdu
都江堰景区步行可达/机麻棋牌/宽敞舒适全屋空调,5.0,4室,整租,8,398,//pics.muniao.com//UploadFiles/thumb/image/20180613/3eed70eaa43340d69a27c0309076cb5920180613111851548.jpg_414_262.jpg,chengdu
【唯爱驿站】春熙路IFS太古里天府广场一二号线交汇北欧风格/低价长租,5.0,1室,整租,2,225,//pics.muniao.com//UploadFiles/thumb/image/20171226/9979355a9ffc4a26aa7a3b2619b20ae120171226223941610.jpg_414_262.jpg,chengdu
地铁犀浦站loft新房大床房地铁直达/春熙、太古里,5.0,1室,整租,2,238,//pics.muniao.com//UploadFiles/root/room/148945/thumb/d172727326a644d19f6bd7149b768d74.jpg_414_262.jpg,chengdu
双流机场/川大旁/地铁8号线/豪华温馨跃层Loft/无接触入住/可洗衣做饭,5.0,1室,整租,2,208,//pics.muniao.com//UploadFiles/root/room/141563/thumb/0b8b482794234d928f8f009ff94ae99f.jpeg_414_262.jpeg,chengdu
【The House雅居】Panda贰•宽窄巷子新城市广场简约,4.5,2室,整租,4,228,//pics.muniao.com//UploadFiles/thumb/image/20181009/414e44bdfca34afda601a278b7df6a2420181009110734896.jpg_414_262.jpg,chengdu
锦里*华西*玉林*欧式新古典跃层两居,5.0,2室,整租,4,488,//pics.muniao.com//UploadFiles/thumb/image/20180717/9ae9ff00327e4e299ef45c5056ad3db620180717170312621.jpg_414_262.jpg,chengdu
春熙路太古里IFS：北欧风情A,5.0,1室,整租,2,288,//pics.muniao.com//UploadFiles/root/room/140654/thumb/9a29e26d7f8b42b3a1eb6e44cd94be28.jpg_414_262.jpg,chengdu
套一近茶店子人人乐欢乐谷一品天下近6号地铁,4.9,1室,整租,2,158,//pics.muniao.com//UploadFiles/root/room/95162/thumb/3be441a049844ea1a5ad3ed3471a0d2f.jpg_414_262.jpg,chengdu
春熙路太古里IFS：北欧风公主房A,4.9,1室,整租,2,288,//pics.muniao.com//UploadFiles/root/room/35698/thumb/7ee205a9896d480fa01cd68095c355ac.jpg_414_262.jpg,chengdu
【唯爱驿站】天府广场地铁一二号线春熙路太古里盐市口套一加沙发床 /低价长租,4.9,1室,整租,2,225,//pics.muniao.com//UploadFiles/root/room/131890/thumb/bbdeafeb548f4bb1a01f89cc3be0ea58.jpg_414_262.jpg,chengdu
寬窄巷子 文殊院 太古里 不慕仙度假獨立屋一居,5.0,1室,整租,2,888,//pics.muniao.com//UploadFiles/thumb/image/20180527/a45f84b04f7c4562b48dde94cb4e1fd720180527170851051.jpg_414_262.jpg,chengdu
上锦南府医院华西分院温馨三居室,5.0,3室,整租,7,268,//pics.muniao.com//UploadFiles/root/room/146449/thumb/41024d3762164a4ba8d7eaf0aae74c1d.jpg_414_262.jpg,chengdu
成都机场川大8分钟锦里春熙路半小时精致小家,5.0,1室,整租,1,188,//pics.muniao.com//UploadFiles/root/room/124870/thumb/35ffae1265f94a7c8ab16758de8041e9.jpg_414_262.jpg,chengdu
【留蜀】宽窄巷子 ins投影 人民公园,5.0,2室,整租,4,351,//pics.muniao.com//UploadFiles/thumb/image/20180813/9450bd072d284fb0aac0b07af563ecfd20180813173911884.jpg_414_262.jpg,chengdu
套二阁楼北欧主题一品天下凯德广场茶店子欢乐谷近6号线,4.8,2室,整租,4,158,//pics.muniao.com//UploadFiles/root/room/95494/thumb/64af3c662afb4943ae311b4061a30c34.jpg_414_262.jpg,chengdu
成都宽窄巷子卷舒堂印象美洲海岸精致房,4.5,1室,整租,3,298,//pics.muniao.com//UploadFiles/root/room/77583/thumb/b1b4261fd58f490c876c016ceb5f7c56.jpg_414_262.jpg,chengdu
 成都东站 火车东站 2号线地铁 田园三居室 日租房,5.0,3室,整租,6,268,//pics.muniao.com//UploadFiles/root/room/73177/thumb/b1402fa3bba74306b54be172c0e30c5e.jpg_414_262.jpg,chengdu
标间在上锦南府华西医院对面民宿,4.5,6室,单间出租,4,89,//pics.muniao.com//UploadFiles/thumb/image/20180804/65995353e2d940ce9ff2ac7a886bb1bd20180804175042215.jpg_414_262.jpg,chengdu
"成都天府广场武侯祠机麻套房两室一厅精品套房
地铁口",4.9,2室,整租,5,399,//pics.muniao.com//UploadFiles/root/room/158567/thumb/59c336ff6262493b8f7d25c14ac52723.jpg_414_262.jpg,chengdu
紧邻成都火车东站 宇玲小姐家   独卫大床房,4.7,5室,单间出租,2,128,//pics.muniao.com//UploadFiles/root/room/151376/thumb/4a85958fa0ef4490967561026cd76e67.jpg_414_262.jpg,chengdu
成都火车东站附近 春意单间,5.0,5室,单间出租,1,58,//pics.muniao.com//UploadFiles/root/room/150997/thumb/273a6d1ec34e4bb6a2b82082fdfd0169.jpg_414_262.jpg,chengdu
春熙路王府井一室一厅套房,5.0,1室,整租,2,210,//pics.muniao.com//UploadFiles/root/room/147811/thumb/012a3199a6434216bfb91a540c7209d0.jpeg_414_262.jpeg,chengdu
南府医院华西分院 单间 可洗衣煮饭,4.8,3室,单间出租,2,80,//pics.muniao.com//UploadFiles/root/room/146450/thumb/0f5643bea1ac4517a1b2683d8e37a158.jpg_414_262.jpg,chengdu
【高清巨幕投影】【100米内吃遍宽窄巷子20家美食】【150平精装北欧双卫舒居】,5.0,3室,整租,6,1500,//pics.muniao.com//UploadFiles/thumb/image/20180823/eb988444431e42be825aa63ea1a57dda20180823101304847.jpg_414_262.jpg,chengdu
四川大学华西医院上锦分院整租三居室,4.8,3室,整租,8,188,//pics.muniao.com//UploadFiles/root/room/146747/thumb/f6c468ff6a694badb1539fe1e99fe122.jpg_414_262.jpg,chengdu
春熙路 太古里附近一居室整租,4.8,1室,整租,2,98,//pics.muniao.com//UploadFiles/root/room/19935/thumb/1927e7ec07ed40f680d6253936fe9586.jpg_414_262.jpg,chengdu
（榻榻米书吧）春熙路太古里/西华大学/电子科大/四川传媒/青城山都江堰（可长租）,4.8,2室,整租,5,298,//pics.muniao.com//UploadFiles/root/room/270039/thumb/5a3c5b57b3124e128e0426f69fa69d25.jpg_414_262.jpg,chengdu
紧邻成都东站 幸运屋 星绿单间,5.0,5室,单间出租,1,78,//pics.muniao.com//UploadFiles/root/room/150994/thumb/76963691a31e4759b155a2fb36335422.jpg_414_262.jpg,chengdu
成都家在旅途春熙路太古里家庭双卧套房,4.8,2室,整租,4,158,//pics.muniao.com//UploadFiles/root/room/116021/thumb/f9f7b243784e41be8909be4ad6124f0b.jpeg_414_262.jpeg,chengdu
成都宽窄巷子卷舒堂印象熊猫主题套房,4.5,2室,整租,3,278,//pics.muniao.com//UploadFiles/root/room/77607/thumb/b287ef3e822949b1bb24457e72b0eeb7.jpg_414_262.jpg,chengdu
归蜀 湖镜 春熙路 IFS 太古里,4.6,2室,整租,4,468,//pics.muniao.com//UploadFiles/thumb/image/20180527/f3491c53eb6441678fe952878611917920180527144644761.jpg_414_262.jpg,chengdu
成都火车东站旁精致小单间房,4.8,5室,单间出租,1,58,//pics.muniao.com//UploadFiles/root/room/147573/thumb/183e6f869d4c41e58fadcd45dada5ddc.jpg_414_262.jpg,chengdu
紧靠地铁3号线新南门站迷你双人房,4.7,1室,整租,1,78,//pics.muniao.com//UploadFiles/root/room/147130/thumb/4b29387160bf429f84fb96ab7f121b84.jpg_414_262.jpg,chengdu
天府广场、春熙路商圈商务单人间,4.5,1室,整租,2,128,//pics.muniao.com//UploadFiles/root/room/147111/thumb/adabaccad09f4ee1829e52c732ec77b0.jpg_414_262.jpg,chengdu
【The House雅居】星月•近夜猫子夜市.宽窄巷子.奎星楼街,5.0,1室,整租,4,228,//pics.muniao.com//UploadFiles/thumb/image/20171212/62719151319242e886db01ece31e3e8520171212150451782.jpg_414_262.jpg,chengdu
紧挨四川大学豪华标准双床房,4.5,1室,整租,4,168,//pics.muniao.com//UploadFiles/root/room/147129/thumb/c13549ab18234c3393e6ab3659c5d36a.jpg_414_262.jpg,chengdu
凯德广场 loft2居室温馨简约风,3.0,2室,整租,2,188,//pics.muniao.com//UploadFiles/root/room/267155/thumb/9d62d516511c4915a95c1a85ef03b630.jpg_414_262.jpg,chengdu
华西医院附二院西藏成办武侯祠锦里房一居,4.5,1室,整租,4,218,//pics.muniao.com//UploadFiles/thumb/image/20180802/21f74cee708a4b43b01fb6eedb1e3c8b20180802085015083.jpg_414_262.jpg,chengdu
温江大学城地铁首座花语家庭温馨公寓,5.0,1室,整租,2,159,//pics.muniao.com//UploadFiles/thumb/image/20170106/0665102c1970483eb7e1651dc155c83c20170106132749618.jpg_414_262.jpg,chengdu
田园小清新风格大床房,5.0,1室,整租,2,178,//pics.muniao.com//UploadFiles/thumb/image/20180819/3530b0228b624999943f026f1880762f20180819202308386.jpg_414_262.jpg,chengdu
紧邻成都东站 等花开 蓝色梦单间,5.0,5室,单间出租,1,55,//pics.muniao.com//UploadFiles/root/room/150996/thumb/722c17f8d5da4c0c9d4a7c79b93990ee.jpg_414_262.jpg,chengdu
机场近川大蓝色田园风温馨浪漫小套房,5.0,1室,整租,2,178,//pics.muniao.com//UploadFiles/root/room/110812/thumb/043afe243f6242e99ddc4d1ac880f95e.jpg_414_262.jpg,chengdu
二号线茶店子车站金沙宽窄巷子欢乐谷茶小二居室,5.0,1室,整租,4,198,//pics.muniao.com//UploadFiles/thumb/image/20180113/a5aa21f645964afe8868c3a438847b7b20180113030846677.jpg_414_262.jpg,chengdu
市二医院門吉小屋 黑白系列 大床房,5.0,1室,整租,2,286,//pics.muniao.com//UploadFiles/root/room/165762/thumb/1884214cb5c64496ac35d7ca7b4d80b9.jpg_414_262.jpg,chengdu
【secome可临】武侯祠锦里地铁直达春熙路太古里,5.0,1室,整租,2,220,//pics.muniao.com//UploadFiles/root/room/134445/thumb/05df682413bd469a9e31238dee90a74f.jpg_414_262.jpg,chengdu
大地新光华杜甫草堂精装大床房,4.8,1室,整租,2,168,//pics.muniao.com//UploadFiles/root/room/191987/thumb/21461e9f6e4e4e9b8cce25773fbb5757.jpg_414_262.jpg,chengdu
地铁1号线四河站A口/标准套一/软件园/世纪城会展/文殊院/可以做饭，免费开发票,5.0,1室,整租,2,108,//pics.muniao.com//UploadFiles/root/room/160396/thumb/df39181f432f40c88a4a8afbaccc769c.jpg_414_262.jpg,chengdu
二号线茶店子车站金沙宽窄巷子欢乐谷茶小一居室,4.8,1室,整租,3,140,//pics.muniao.com//UploadFiles/thumb/image/20180113/6c858130b00e458089e0b269a4d6451420180113021241535.jpg_414_262.jpg,chengdu
地铁四号线宽窄巷子双地铁尚居loft套三三床房,5.0,3室,整租,5,368,//pics.muniao.com//UploadFiles/root/room/147989/thumb/c356b6563f2c4d718d9355dbd585bdbf.jpg_414_262.jpg,chengdu
火车东站春色浪漫大床房,5.0,5室,单间出租,2,88,//pics.muniao.com//UploadFiles/root/room/147574/thumb/f53b3be9c6aa4e7caaf502bad19a0581.jpg_414_262.jpg,chengdu
春熙路商圈迷你单人间,4.3,1室,整租,2,78,//pics.muniao.com//UploadFiles/root/room/147144/thumb/9a871962d75c40499db6732f900911d5.jpg_414_262.jpg,chengdu
♛100寸投影♛龙湖上层♞高层景观地铁口房_欢乐谷宽窄巷子春熙路熊猫动物园,5.0,3室,整租,6,238,//pics.muniao.com//UploadFiles/root/room/81803/thumb/5f067dd9cbfe44aca45fe5c742e97ea0.jpeg_414_262.jpeg,chengdu
紧邻火车东站小阳台单人床,5.0,5室,单间出租,1,68,//pics.muniao.com//UploadFiles/root/room/147577/thumb/0eed74ea22fe4a10ba4539c55ac12a2b.jpg_414_262.jpg,chengdu
锦里、宽窄巷子商务大床房,5.0,1室,整租,2,138,//pics.muniao.com//UploadFiles/root/room/147116/thumb/5c529896a82944f3806bb634f6511131.jpg_414_262.jpg,chengdu
天府软件园附近地铁一号线四河地铁口豪华装修整套二房带暖气，免费为租客提供租房发票,4.5,1室,整租,4,220,//pics.muniao.com//UploadFiles/root/room/158997/thumb/c15f911a000c4db1a1308a3c89cf7c51.jpg_414_262.jpg,chengdu
四川大学、省音乐学院豪华观景大床房,4.7,5室,单间出租,2,148,//pics.muniao.com//UploadFiles/root/room/147123/thumb/a59fe956d5f340f4b6160961555f1dbd.jpg_414_262.jpg,chengdu
保利精装3室地铁口 高铁直达青城山都江堰,4.9,3室,整租,6,528,//pics.muniao.com//UploadFiles/root/room/116017/thumb/d720bf0a80f6450685d3b0c65959c87d.jpg_414_262.jpg,chengdu
地铁二号线龙泉驿A出口/秋实田园精品二居,4.7,2室,整租,6,268,//pics.muniao.com//UploadFiles/thumb/image/20180927/bf1b32950dad49dd9ee1df5d163ff0ee20180927140532314.jpg_414_262.jpg,chengdu
唐人街唐顿庄园精装一居室,5.0,1室,整租,2,168,//pics.muniao.com//UploadFiles/thumb/image/20180724/c40530cf19ef49cda790d9b4cd2f113620180724110729087.jpg_414_262.jpg,chengdu
阳光城堡别墅轰趴馆--莫奈的花园,4.8,7室,整租,14,2680,//pics.muniao.com//UploadFiles/thumb/image/20190901/2eed1985f18e4c2796ee9f26341f9a0b20190901101254500.jpg_414_262.jpg,chengdu
大观镇东岳街 青城外山风景区,5.0,1室,整租,2,168,//pics.muniao.com//UploadFiles/root/room/137107/thumb/b8f9f488443c4f70baed8338554521a2.jpg_414_262.jpg,chengdu
近武侯祠七室两厅超大美式豪宅,5.0,7室,整租,14,1800,//pics.muniao.com//UploadFiles/thumb/image/20180629/0c33e41b9dc44cecb341c1efa593ca2720180629144208583.jpg_414_262.jpg,chengdu
金融城银泰中心华悦居菲斯服务公寓一居室,5.0,1室,整租,2,519,//pics.muniao.com//UploadFiles/thumb/image/20180711/c705c6dad7074c7999279827532be8fa20180711112358924.jpg_414_262.jpg,chengdu
春熙路太古里宽窄巷子SM广场两居室,5.0,2室,整租,4,700,//pics.muniao.com//UploadFiles/root/room/177267/thumb/b6aa27d959214d1f9a2508cd10f06529.jpg_414_262.jpg,chengdu
理工大学地铁口/外星人 两居室 可住4人,5.0,2室,整租,4,999,//pics.muniao.com//UploadFiles/root/room/172240/thumb/a1ae9741a35c4187b3e74cdf1ec90b96.jpg_414_262.jpg,chengdu
紧靠地铁3号线温馨单人间,5.0,1室,整租,2,128,//pics.muniao.com//UploadFiles/root/room/147140/thumb/e1c58f6a16c747dba4325041fa67eff7.jpg_414_262.jpg,chengdu
天府广场、春熙路商圈温馨标准双床房,4.0,1室,整租,4,168,//pics.muniao.com//UploadFiles/root/room/147120/thumb/d0a95112f1f94c98838ddacad935fbb0.jpg_414_262.jpg,chengdu
人民公园 华西医院、四川大学家庭豪华观景房,4.8,1室,整租,2,148,//pics.muniao.com//UploadFiles/root/room/147118/thumb/1a84bbf6f662417c8f28cd318190f4d5.jpg_414_262.jpg,chengdu
免费拍照/熊猫基地/太古里/春熙路/驷马桥古风一居室,5.0,1室,整租,2,228,//pics.muniao.com//UploadFiles/root/room/268072/thumb/e0171d36010041418ebf38e467c8e515.jpg_414_262.jpg,chengdu
太古里春熙路晶融汇IFS北欧风摇椅居,5.0,1室,整租,2,268,//pics.muniao.com//UploadFiles/root/room/265156/thumb/17270d176e574f17bedefee58a2aa03d.jpg_414_262.jpg,chengdu
东客站地铁口/舒适大床落地窗整套出租/全套家电可做饭,5.0,1室,整租,2,599,//pics.muniao.com//UploadFiles/thumb/image/20181123/f9858d9f236047a99b2693c751a1156620181123230708887.jpg_414_262.jpg,chengdu
美好江南--温江国色天香国庆团建聚会别墅轰趴馆,5.0,4室,整租,10,2080,//pics.muniao.com//UploadFiles/thumb/image/20181002/276cc5c1a70a44f8b914307caa9ae83320181002115602075.jpg_414_262.jpg,chengdu
【留蜀】宽窄巷子 原木投影 人民公园,5.0,2室,整租,4,299,//pics.muniao.com//UploadFiles/thumb/image/20180813/9f105a0cea7043bdb1b11c4df79b966020180813163335423.jpg_414_262.jpg,chengdu
紧邻百伦商场精装舒适一居室,5.0,1室,整租,2,298,//pics.muniao.com//UploadFiles/thumb/image/20180817/0603d5b401e24c24b9d04f0bb0e1fb8720180817175446570.jpg_414_262.jpg,chengdu
春熙路太古里IFS：北欧公主房B 一居,4.9,1室,整租,2,218,//pics.muniao.com//UploadFiles/root/room/223314/thumb/2da9bf2544b241329422f519636fcf01.jpg_414_262.jpg,chengdu
公司团建，生日派对老同学聚会假期旅游别墅轰趴馆,5.0,3室,整租,10,1388,//pics.muniao.com//UploadFiles/thumb/image/20180530/96774e35c59d4fa0b077151219d4fcdd20180530194150200.jpg_414_262.jpg,chengdu
春熙路太古里/天府广场地铁一二号线/机场大巴一居/低价长租,5.0,1室,整租,2,225,//pics.muniao.com//UploadFiles/thumb/image/20180725/c2377f4300ce4cdb8ddbf33125a58a6820180725123757183.jpg_414_262.jpg,chengdu
双流航空港民大旁/豪华温馨一居室/地铁10号线/无接触入住/可洗衣做饭,5.0,1室,整租,2,158,//pics.muniao.com//UploadFiles/root/room/167170/thumb/8685e1660bab4d29870bcf0a46396b1f.jpg_414_262.jpg,chengdu
四室三厅机麻小区外地铁口宽窄巷子、锦里 旅游家,5.0,4室,整租,8,529,//pics.muniao.com//UploadFiles/root/room/163898/thumb/fdd1c10eef014730bd2a17e0767319ff.jpg_414_262.jpg,chengdu
双流机场/地铁8号线/川大民大附近/精装温馨一居/无接触入住/可洗衣做饭,5.0,1室,整租,2,108,//pics.muniao.com//UploadFiles/root/room/131526/thumb/66d9d92f76204fd5997f510c1e280fdc.jpg_414_262.jpg,chengdu
万达锦华城/地铁6号8号线/近川大川师七中嘉祥/ 温馨一居/可洗衣做饭,5.0,1室,整租,2,188,//pics.muniao.com//UploadFiles/root/room/130616/thumb/e93cb91a6f424a9bb0f222fd7b8b679e.jpg_414_262.jpg,chengdu
梦幻岛乐园旁 近海洋公园 舒适一居电梯公寓,5.0,1室,整租,2,150,//pics.muniao.com//UploadFiles/root/room/112354/thumb/10145c4b7dc342cd8178495d9691192c.jpg_414_262.jpg,chengdu
鹏瑞利广场附近三居室整租,5.0,3室,整租,6,358,//pics.muniao.com//UploadFiles/root/room/88531/thumb/e76b5608a3df4d62aa0e20ee035a7578.jpg_414_262.jpg,chengdu
万象城春熙路宽窄九远桥现代简约二居,5.0,2室,整租,4,348,//pics.muniao.com//UploadFiles/root/room/74929/thumb/25b88be2283f4d4f9ce3bc7482f2f8ef.jpg_414_262.jpg,chengdu
都江堰泰安古镇旁美式怀旧复式乡村家庭套房,5.0,2室,整租,4,388,//pics.muniao.com//UploadFiles/root/room/65411/thumb/2428f414d401471baec73e4103e8d438.jpg_414_262.jpg,chengdu
八宝街新城市广场家庭式公寓拎包入住可做饭,4.9,1室,整租,2,128,//pics.muniao.com//UploadFiles/thumb/image/20160606/20160606172349802.jpg_414_262.jpg,chengdu
春熙路太古里步行街旁大床房/双地铁/市区景点,5.0,1室,整租,3,89,//pics.muniao.com//UploadFiles/root/room/20172/thumb/b1d89213897c44a880dd64f26c23884f.jpg_414_262.jpg,chengdu
柠檬公寓之忆锦湾/锦里华西武侯祠宽窄巷子 三居室,4.9,3室,整租,8,1299,//pics.muniao.com//UploadFiles/root/room/279560/thumb/a46e3df619a24ae690ea0c43df8763d9.jpg_414_262.jpg,chengdu
火车南站森林系北欧日式3居套房,4.0,3室,整租,6,466,//pics.muniao.com//UploadFiles/root/room/278523/thumb/92856106e72f44df8a1e251820d43cbe.jpg_414_262.jpg,chengdu
春熙路宽窄巷子旁双地铁温馨套一,5.0,1室,整租,2,218,//pics.muniao.com//UploadFiles/root/room/276840/thumb/6e9a75dfaec04dc79578c97d48d5d8a6.jpg_414_262.jpg,chengdu
大邑花水湾温泉度假～泳情别墅5室6床10-12人,5.0,5室,整租,12,1399,//pics.muniao.com//UploadFiles/root/thumb/230712/30be6485c31246399993589e53b09494.jpg_414_262.jpg,chengdu
地铁二号线龙泉驿站A出口/冬暖/田园风精品二居,4.9,2室,整租,6,268,//pics.muniao.com//UploadFiles/root/room/272987/thumb/0ae57ba627f74ff1b746c1ee21f7cc68.jpg_414_262.jpg,chengdu
玉林西路小酒馆/锦里/武侯祠/春熙路/大床房,4.2,1室,整租,2,318,//pics.muniao.com//UploadFiles/root/room/271576/thumb/46e9fb99a80c49da8719c0f65e5b58c3.jpg_414_262.jpg,chengdu
【溪水旁】建设巷/东郊记忆/电子科技大学/开放式厨房+婴儿床/温馨一居室,5.0,1室,整租,3,338,//pics.muniao.com//UploadFiles/thumb/image/20181113/8bdcd7b7bd6d402da11a8063e4e5b5ea20181113124504296.jpg_414_262.jpg,chengdu
粉色少女风 川师地铁口 龙舟路三圣花乡四川师范大学旁精装大床房,5.0,1室,整租,2,168,//pics.muniao.com//UploadFiles/root/room/249220/thumb/90e885b29c1547f69b21391b1682eb56.jpeg_414_262.jpeg,chengdu
青城山景区附近别墅温馨花园套房,5.0,2室,整租,4,1088,//pics.muniao.com//UploadFiles/thumb/image/20180915/040175fa95d0401ca5775ab98649beb620180915124550518.jpg_414_262.jpg,chengdu
慢山花园7号别墅成都花水湾温泉西岭雪山三居室,5.0,3室,整租,7,860,//pics.muniao.com//UploadFiles/thumb/image/20180904/2ea02953c9ef421d9252cd60a76fe2b620180904143046800.jpg_414_262.jpg,chengdu
双楠/地铁3号线/少陵路/伊藤洋华堂/宽窄巷/锦里/草堂/金沙/成都职业技术学院,5.0,1室,整租,2,167,//pics.muniao.com//UploadFiles/thumb/image/20180810/f306bf0d583d48a187f2d8ef2a37e05a20180810231904337.jpg_414_262.jpg,chengdu
近成都东站 川师附近 地铁房 可直达春熙路 宽窄巷子万科品质温馨套房,5.0,3室,整租,5,368,//pics.muniao.com//UploadFiles/thumb/image/20180621/ad9150b3da3343bfb461309c721b4afb20180621092728968.jpg_414_262.jpg,chengdu
趣住chic inn/家有萌喵/全屋榻榻米/市中心紧邻宽窄巷子，春熙路，太古里,5.0,2室,单间出租,2,178,//pics.muniao.com//UploadFiles/thumb/image/20180626/82581e85e93843979de073f6dc07b96120180626101709473.jpg_414_262.jpg,chengdu
宽窄巷子1/人民公园两居室 ,4.0,2室,整租,3,188,//pics.muniao.com//UploadFiles/thumb/image/20180611/b2d5691abb8a4343895e615a2ed1598b20180611095237433.jpg_414_262.jpg,chengdu
【青城山玖零驿站】四居免费做饭机麻,5.0,4室,整租,10,998,//pics.muniao.com//UploadFiles/thumb/image/20181228/e14593d68b7d47ef98447138a949ca3e20181228203431703.jpg_414_262.jpg,chengdu
锦里/宽窄巷子/武侯祠/草堂附近带厨房一居室室,5.0,1室,整租,2,268,//pics.muniao.com//UploadFiles/thumb/image/20180807/9c427c5bc57249b5a2b62740224da5ab20180807235049235.jpg_414_262.jpg,chengdu
成都天府广场，宽窄巷子，春熙路，太古里温馨一居,4.5,1室,整租,2,228,//pics.muniao.com//UploadFiles/thumb/image/20180424/0cf2592443264c4c9bda7aca225ce87320180424234004575.jpg_414_262.jpg,chengdu
2人住单间，文化宫4、7号线地铁旁，单间,5.0,3室,单间出租,2,128,//pics.muniao.com//UploadFiles/thumb/image/20180427/c9867e55c625489a87bb433dae69996320180427212729405.jpg_414_262.jpg,chengdu
【简·纯】ins风/IFS/太古里/3、4号线地铁一室一厅双床套房双空调/投影,5.0,1室,整租,4,208,//pics.muniao.com//UploadFiles/root/room/181212/thumb/1f4e2733b9e44feaaeb95a348885f8e7.jpg_414_262.jpg,chengdu
【简·漫】春熙路/IFS/太古里/双地铁。适合爱美爱拍照的小仙女或爱浪漫的情侣入,5.0,1室,整租,2,188,//pics.muniao.com//UploadFiles/root/room/181177/thumb/aab489536cfe47f1a52d09cb1198a188.jpg_414_262.jpg,chengdu
春熙路 太古里旁 安静美丽的小房子,5.0,3室,整租,4,386,//pics.muniao.com//UploadFiles/root/room/161072/thumb/8afe92bd017347f9ad976fd3c5512b4a.jpg_414_262.jpg,chengdu
地铁1号线四河站/天府软件园/欧洲中心/春熙路/文殊院/交通便利/可做饭,4.6,1室,整租,2,280,//pics.muniao.com//UploadFiles/root/room/149401/thumb/9dbb81177358427fbd01cc437d09c1ae.jpg_414_262.jpg,chengdu
武侯祠、宽窄巷子简约商务双人房,4.6,1室,整租,2,128,//pics.muniao.com//UploadFiles/root/room/147114/thumb/0d16670e248743a3ac59d82522e277f7.jpg_414_262.jpg,chengdu
